pol,utdate,obsnum,subsysnr,object,molecule,transition,obs_sb,peak,tsys,bwmode
both,20200701,18,1,16293-2422,CH3OH,5-4,LSB,1.16304,159.9483,250MHzx8192
both,20200628,26,2,16293-2422,CH3OH,5-4,LSB,1.09647,154.424,1000MHzx2048
both,20200629,23,2,16293-2422,CH3OH,5-4,LSB,1.09601,189.3838,1000MHzx2048
both,20200701,18,2,16293-2422,CH3OH,5-4,LSB,1.08579,160.2448,1000MHzx2048
p0,20200627,87,1,G34.3,CH3OH,5-4,LSB,4.60157,134.3218,250MHzx8192
p0,20200628,33,1,G34.3,CH3OH,5-4,LSB,4.63834,146.83700000000000,250MHzx8192
p0,20200629,42,1,G34.3,CH3OH,5-4,LSB,4.74406,127.1515,250MHzx8192
p0,20200627,87,2,G34.3,CH3OH,5-4,LSB,4.57562,132.7415,1000MHzx2048
p0,20200628,33,2,G34.3,CH3OH,5-4,LSB,4.5641100000000000,145.5524,1000MHzx2048
p0,20200629,42,2,G34.3,CH3OH,5-4,LSB,4.575130000000000,125.0213,1000MHzx2048
p1,20200627,87,1,G34.3,CH3OH,5-4,LSB,5.03824,124.5692,250MHzx8192
p1,20200628,33,1,G34.3,CH3OH,5-4,LSB,5.1374,139.5246,250MHzx8192
p1,20200629,42,1,G34.3,CH3OH,5-4,LSB,5.0850800000000000,119.241,250MHzx8192
p1,20200627,87,2,G34.3,CH3OH,5-4,LSB,4.953530000000000,127.0653,1000MHzx2048
p1,20200628,33,2,G34.3,CH3OH,5-4,LSB,4.9465700000000000,143.681,1000MHzx2048
p1,20200629,42,2,G34.3,CH3OH,5-4,LSB,4.98185,123.1297,1000MHzx2048
both,20200627,87,1,G34.3,CH3OH,5-4,LSB,4.81604,129.1715,250MHzx8192
both,20200628,33,1,G34.3,CH3OH,5-4,LSB,4.8476300000000000,143.0465,250MHzx8192
both,20200629,42,1,G34.3,CH3OH,5-4,LSB,4.87991,122.9999,250MHzx8192
both,20200627,87,2,G34.3,CH3OH,5-4,LSB,4.77763,129.8113,1000MHzx2048
both,20200628,33,2,G34.3,CH3OH,5-4,LSB,4.76296,144.6061,1000MHzx2048
both,20200629,42,2,G34.3,CH3OH,5-4,LSB,4.78679,124.0658,1000MHzx2048
p0,20200627,79,1,NGC6334I,CH3OH,5-4,LSB,7.99017,211.5806,250MHzx8192
p0,20200628,42,1,NGC6334I,CH3OH,5-4,LSB,6.2959,175.0548,250MHzx8192
p0,20200629,33,1,NGC6334I,CH3OH,5-4,LSB,6.19233,177.0311,250MHzx8192
p0,20200627,79,2,NGC6334I,CH3OH,5-4,LSB,7.79675,207.9194,1000MHzx2048
p0,20200628,42,2,NGC6334I,CH3OH,5-4,LSB,6.04523,172.9416,1000MHzx2048
p0,20200629,33,2,NGC6334I,CH3OH,5-4,LSB,6.02137,174.9902,1000MHzx2048
p1,20200627,79,1,NGC6334I,CH3OH,5-4,LSB,8.3055,191.2228,250MHzx8192
p1,20200628,42,1,NGC6334I,CH3OH,5-4,LSB,6.79608,167.8346,250MHzx8192
p1,20200629,33,1,NGC6334I,CH3OH,5-4,LSB,6.673310000000000,164.7147,250MHzx8192
p1,20200627,79,2,NGC6334I,CH3OH,5-4,LSB,7.98757,195.2419,1000MHzx2048
p1,20200628,42,2,NGC6334I,CH3OH,5-4,LSB,6.58577,171.5666,1000MHzx2048
p1,20200629,33,2,NGC6334I,CH3OH,5-4,LSB,6.48491,168.018,1000MHzx2048
both,20200627,79,1,NGC6334I,CH3OH,5-4,LSB,8.11105,200.6382,250MHzx8192
both,20200628,42,1,NGC6334I,CH3OH,5-4,LSB,6.4816200000000000,171.3408,250MHzx8192
both,20200629,33,1,NGC6334I,CH3OH,5-4,LSB,6.42816,170.5479,250MHzx8192
both,20200627,79,2,NGC6334I,CH3OH,5-4,LSB,7.89815,201.2824,1000MHzx2048
both,20200628,42,2,NGC6334I,CH3OH,5-4,LSB,6.31497,172.2481,1000MHzx2048
both,20200629,33,2,NGC6334I,CH3OH,5-4,LSB,6.26256,171.4003,1000MHzx2048
p0,20200629,63,1,W3(OH),CH3OH,5-4,LSB,2.9833,126.9848,250MHzx8192
p0,20200701,78,1,W3(OH),CH3OH,5-4,LSB,3.13366,158.0933,250MHzx8192
p0,20200629,63,2,W3(OH),CH3OH,5-4,LSB,2.92568,124.3478,1000MHzx2048
p0,20200701,78,2,W3(OH),CH3OH,5-4,LSB,3.01963,155.8717,1000MHzx2048
p1,20200629,63,1,W3(OH),CH3OH,5-4,LSB,3.12456,116.8399,250MHzx8192
p1,20200701,78,1,W3(OH),CH3OH,5-4,LSB,3.4395600000000000,147.2263,250MHzx8192
p1,20200629,63,2,W3(OH),CH3OH,5-4,LSB,2.95091,120.2034,1000MHzx2048
p1,20200701,78,2,W3(OH),CH3OH,5-4,LSB,3.3311900000000000,150.9558,1000MHzx2048
both,20200629,63,1,W3(OH),CH3OH,5-4,LSB,2.98985,121.5928,250MHzx8192
both,20200701,78,1,W3(OH),CH3OH,5-4,LSB,3.25555,152.3692,250MHzx8192
both,20200629,63,2,W3(OH),CH3OH,5-4,LSB,2.9390100000000000,122.2225,1000MHzx2048
both,20200701,78,2,W3(OH),CH3OH,5-4,LSB,3.18065,153.3542,1000MHzx2048
p0,20200628,56,1,CRL2688,H-13-CN,3-2,LSB,0.616369,161.6089,250MHzx8192
p0,20200701,32,1,CRL2688,H-13-CN,3-2,LSB,0.682301,191.6351,250MHzx8192
p1,20200628,56,1,CRL2688,H-13-CN,3-2,LSB,0.368352,155.5322,250MHzx8192
p1,20200701,32,1,CRL2688,H-13-CN,3-2,LSB,0.383807,181.2034,250MHzx8192
both,20200628,56,1,CRL2688,H-13-CN,3-2,LSB,0.379231,158.4903,250MHzx8192
both,20200701,32,1,CRL2688,H-13-CN,3-2,LSB,0.312287,186.1964,250MHzx8192
p0,20200628,56,2,CRL2688,H-13-CN,3-2,LSB,1.8783300000000000,156.0912,1000MHzx2048
p0,20200701,32,2,CRL2688,H-13-CN,3-2,LSB,1.8616600000000000,181.2805,1000MHzx2048
p1,20200628,56,2,CRL2688,H-13-CN,3-2,LSB,2.37132,150.57300000000000,1000MHzx2048
p1,20200701,32,2,CRL2688,H-13-CN,3-2,LSB,2.32007,171.4487,1000MHzx2048
both,20200628,56,2,CRL2688,H-13-CN,3-2,LSB,2.13334,153.2579,1000MHzx2048
both,20200701,32,2,CRL2688,H-13-CN,3-2,LSB,2.09079,176.158,1000MHzx2048
p0,20200627,60,1,CRL2688,CS,5-4,LSB,1.16785,146.3985,250MHzx8192
p0,20200627,61,1,CRL2688,CS,5-4,USB,1.31895,149.0616,250MHzx8192
p0,20200628,57,1,CRL2688,CS,5-4,USB,1.3635,145.2275,250MHzx8192
p0,20200701,29,1,CRL2688,CS,5-4,USB,1.34629,178.3813,250MHzx8192
p1,20200627,60,1,CRL2688,CS,5-4,LSB,1.21363,137.6611,250MHzx8192
p1,20200627,61,1,CRL2688,CS,5-4,USB,1.86169,144.8178,250MHzx8192
p1,20200628,57,1,CRL2688,CS,5-4,USB,1.43065,141.1967,250MHzx8192
p1,20200701,29,1,CRL2688,CS,5-4,USB,1.3512900000000000,167.3741,250MHzx8192
both,20200627,60,1,CRL2688,CS,5-4,LSB,1.15015,141.8249,250MHzx8192
both,20200627,61,1,CRL2688,CS,5-4,USB,1.30423,146.8854,250MHzx8192
both,20200628,57,1,CRL2688,CS,5-4,USB,1.33046,143.1602,250MHzx8192
both,20200701,29,1,CRL2688,CS,5-4,USB,1.24779,172.6064,250MHzx8192
p0,20200627,60,2,CRL2688,CS,5-4,LSB,1.0716300000000000,144.6695,1000MHzx2048
p0,20200627,61,2,CRL2688,CS,5-4,USB,1.16621,147.9692,1000MHzx2048
p0,20200628,57,2,CRL2688,CS,5-4,USB,1.14057,144.3969,1000MHzx2048
p0,20200701,29,2,CRL2688,CS,5-4,USB,1.23916,177.2361,1000MHzx2048
p1,20200627,60,2,CRL2688,CS,5-4,LSB,1.10499,142.1268,1000MHzx2048
p1,20200627,61,2,CRL2688,CS,5-4,USB,1.18187,148.3188,1000MHzx2048
p1,20200628,57,2,CRL2688,CS,5-4,USB,1.26019,145.514,1000MHzx2048
p1,20200701,29,2,CRL2688,CS,5-4,USB,1.15965,172.3564,1000MHzx2048
both,20200627,60,2,CRL2688,CS,5-4,LSB,1.08871,143.3802,1000MHzx2048
both,20200627,61,2,CRL2688,CS,5-4,USB,1.17157,148.1457,1000MHzx2048
both,20200628,57,2,CRL2688,CS,5-4,USB,1.1994200000000000,144.9507,1000MHzx2048
both,20200701,29,2,CRL2688,CS,5-4,USB,1.18095,174.7465,1000MHzx2048
p0,20200619,52,1,CRL2688,CO,2-1,LSB,6.23842,200.8946,250MHzx8192
p0,20200627,56,1,CRL2688,CO,2-1,LSB,6.95976,144.2758,250MHzx8192
p0,20200628,62,1,CRL2688,CO,2-1,LSB,6.792270000000000,123.844,250MHzx8192
p1,20200619,52,1,CRL2688,CO,2-1,LSB,6.711360000000000,191.5739,250MHzx8192
p1,20200627,56,1,CRL2688,CO,2-1,LSB,7.38882,134.6791,250MHzx8192
p1,20200628,62,1,CRL2688,CO,2-1,LSB,7.04075,115.0676,250MHzx8192
both,20200619,52,1,CRL2688,CO,2-1,LSB,6.43661,196.0643,250MHzx8192
both,20200627,56,1,CRL2688,CO,2-1,LSB,7.121690000000000,139.22900000000000,250MHzx8192
both,20200628,62,1,CRL2688,CO,2-1,LSB,6.8822600000000000,119.2171,250MHzx8192
p0,20200619,52,2,CRL2688,CO,2-1,LSB,6.34157,202.7473,1000MHzx2048
p0,20200627,56,2,CRL2688,CO,2-1,LSB,7.1538,146.1546,1000MHzx2048
p0,20200628,62,2,CRL2688,CO,2-1,LSB,6.881870000000000,125.0106,1000MHzx2048
p1,20200619,52,2,CRL2688,CO,2-1,LSB,6.5360000000000000,193.1211,1000MHzx2048
p1,20200627,56,2,CRL2688,CO,2-1,LSB,7.197310000000000,137.1091,1000MHzx2048
p1,20200628,62,2,CRL2688,CO,2-1,LSB,7.0758,117.9461,1000MHzx2048
both,20200619,52,2,CRL2688,CO,2-1,LSB,6.44349,197.7569,1000MHzx2048
both,20200627,56,2,CRL2688,CO,2-1,LSB,7.17127,141.4163,1000MHzx2048
both,20200628,62,2,CRL2688,CO,2-1,LSB,6.982660000000000,121.3233,1000MHzx2048
p0,20200620,24,1,IRC+10216,CS,5-4,USB,10.3745,292.6361,250MHzx8192
p0,20200624,16,1,IRC+10216,CS,5-4,USB,11.8751,146.6686,250MHzx8192
p0,20200627,18,1,IRC+10216,CS,5-4,USB,10.5809,170.2995,250MHzx8192
p1,20200620,24,1,IRC+10216,CS,5-4,USB,10.8523,283.4645,250MHzx8192
p1,20200624,16,1,IRC+10216,CS,5-4,USB,12.1369,136.1818,250MHzx8192
p1,20200627,18,1,IRC+10216,CS,5-4,USB,10.9901,161.9211,250MHzx8192
both,20200620,24,1,IRC+10216,CS,5-4,USB,10.5259,287.9339,250MHzx8192
both,20200624,16,1,IRC+10216,CS,5-4,USB,11.9357,141.126,250MHzx8192
both,20200627,18,1,IRC+10216,CS,5-4,USB,10.6869,165.9413,250MHzx8192
p0,20200620,24,2,IRC+10216,CS,5-4,USB,10.0481,293.0676,1000MHzx2048
p0,20200624,16,2,IRC+10216,CS,5-4,USB,11.5774,145.7296,1000MHzx2048
p0,20200627,18,2,IRC+10216,CS,5-4,USB,10.3734,168.6771,1000MHzx2048
p1,20200620,24,2,IRC+10216,CS,5-4,USB,10.8015,290.5844,1000MHzx2048
p1,20200624,16,2,IRC+10216,CS,5-4,USB,11.9661,139.5391,1000MHzx2048
p1,20200627,18,2,IRC+10216,CS,5-4,USB,10.9802,164.2912,1000MHzx2048
both,20200620,24,2,IRC+10216,CS,5-4,USB,10.3873,291.8133,1000MHzx2048
both,20200624,16,2,IRC+10216,CS,5-4,USB,11.7765,142.5341,1000MHzx2048
both,20200627,18,2,IRC+10216,CS,5-4,USB,10.6708,166.4409,1000MHzx2048
p0,20200629,55,1,N7538IRS1,CS,5-4,USB,10.5141,128.5961,250MHzx8192
p0,20200701,73,1,N7538IRS1,CS,5-4,USB,10.7902,154.0585,250MHzx8192
p1,20200629,55,1,N7538IRS1,CS,5-4,USB,11.3603,125.8576,250MHzx8192
p1,20200701,73,1,N7538IRS1,CS,5-4,USB,11.2834,148.9969,250MHzx8192
both,20200629,55,1,N7538IRS1,CS,5-4,USB,10.9209,127.2007,250MHzx8192
both,20200701,73,1,N7538IRS1,CS,5-4,USB,10.9919,151.4591,250MHzx8192
p0,20200629,55,2,N7538IRS1,CS,5-4,USB,10.1208,126.7891,1000MHzx2048
p0,20200701,73,2,N7538IRS1,CS,5-4,USB,10.4378,152.6362,1000MHzx2048
p1,20200629,55,2,N7538IRS1,CS,5-4,USB,11.2701,128.9743,1000MHzx2048
p1,20200701,73,2,N7538IRS1,CS,5-4,USB,11.1676,153.8715,1000MHzx2048
both,20200629,55,2,N7538IRS1,CS,5-4,USB,10.6859,127.868,1000MHzx2048
both,20200701,73,2,N7538IRS1,CS,5-4,USB,10.8002,153.2509,1000MHzx2048
p0,20200627,93,1,W75N,CS,5-4,USB,11.8257,132.0179,250MHzx8192
p0,20200628,49,1,W75N,CS,5-4,USB,11.9585,153.3987,250MHzx8192
p0,20200701,65,1,W75N,CS,5-4,USB,11.9441,148.4976,250MHzx8192
p1,20200627,93,1,W75N,CS,5-4,USB,12.2393,125.0427,250MHzx8192
p1,20200628,49,1,W75N,CS,5-4,USB,12.4854,146.3733,250MHzx8192
p1,20200701,65,1,W75N,CS,5-4,USB,12.5287,141.3662,250MHzx8192
both,20200627,93,1,W75N,CS,5-4,USB,12.0341,128.3928,250MHzx8192
both,20200628,49,1,W75N,CS,5-4,USB,12.1858,149.7639,250MHzx8192
both,20200701,65,1,W75N,CS,5-4,USB,12.217,144.7906,250MHzx8192
p0,20200627,93,2,W75N,CS,5-4,USB,11.3736,131.1268,1000MHzx2048
p0,20200628,49,2,W75N,CS,5-4,USB,11.3346,152.7713,1000MHzx2048
p0,20200701,65,2,W75N,CS,5-4,USB,11.5792,147.5224,1000MHzx2048
p1,20200627,93,2,W75N,CS,5-4,USB,12.0534,129.6483,1000MHzx2048
p1,20200628,49,2,W75N,CS,5-4,USB,12.2886,150.9432,1000MHzx2048
p1,20200701,65,2,W75N,CS,5-4,USB,12.2583,145.5125,1000MHzx2048
both,20200627,93,2,W75N,CS,5-4,USB,11.7165,130.3829,1000MHzx2048
both,20200628,49,2,W75N,CS,5-4,USB,11.815,151.8503,1000MHzx2048
both,20200701,65,2,W75N,CS,5-4,USB,11.9227,146.5082,1000MHzx2048
p0,20200628,28,1,16293-2422,CS,5-4,USB,8.13232,166.493,250MHzx8192
p0,20200629,26,1,16293-2422,CS,5-4,USB,8.19887,191.4771,250MHzx8192
p0,20200701,20,1,16293-2422,CS,5-4,USB,8.507810000000000,168.4244,250MHzx8192
p1,20200628,28,1,16293-2422,CS,5-4,USB,7.8887100000000000,154.2949,250MHzx8192
p1,20200629,26,1,16293-2422,CS,5-4,USB,8.46401,178.1904,250MHzx8192
p1,20200701,20,1,16293-2422,CS,5-4,USB,8.53348,157.4699,250MHzx8192
both,20200628,28,1,16293-2422,CS,5-4,USB,7.968210000000000,160.0468,250MHzx8192
both,20200629,26,1,16293-2422,CS,5-4,USB,8.32371,184.4865,250MHzx8192
both,20200701,20,1,16293-2422,CS,5-4,USB,8.41658,162.6778,250MHzx8192
p0,20200628,28,2,16293-2422,CS,5-4,USB,7.70673,164.0314,1000MHzx2048
p0,20200629,26,2,16293-2422,CS,5-4,USB,7.78768,188.9659,1000MHzx2048
p0,20200701,20,2,16293-2422,CS,5-4,USB,8.06961,167.8983,1000MHzx2048
p1,20200628,28,2,16293-2422,CS,5-4,USB,7.63715,159.1454,1000MHzx2048
p1,20200629,26,2,16293-2422,CS,5-4,USB,8.086730000000000,183.2475,1000MHzx2048
p1,20200701,20,2,16293-2422,CS,5-4,USB,8.15235,162.722,1000MHzx2048
both,20200628,28,2,16293-2422,CS,5-4,USB,7.674120000000000,161.5316,1000MHzx2048
both,20200629,26,2,16293-2422,CS,5-4,USB,7.9415,186.0443,1000MHzx2048
both,20200701,20,2,16293-2422,CS,5-4,USB,8.10856,165.2471,1000MHzx2048
p0,20200627,84,1,G34.3,CS,5-4,USB,15.215,138.7595,250MHzx8192
p0,20200628,36,1,G34.3,CS,5-4,USB,15.5229,154.9288,250MHzx8192
p0,20200629,39,1,G34.3,CS,5-4,USB,15.2483,139.5554,250MHzx8192
p1,20200627,84,1,G34.3,CS,5-4,USB,14.7121,123.5645,250MHzx8192
p1,20200628,36,1,G34.3,CS,5-4,USB,14.7876,137.3968,250MHzx8192
p1,20200629,39,1,G34.3,CS,5-4,USB,14.3197,122.0988,250MHzx8192
both,20200627,84,1,G34.3,CS,5-4,USB,14.928000000000000,130.5033,250MHzx8192
both,20200628,36,1,G34.3,CS,5-4,USB,15.0719,145.3819,250MHzx8192
both,20200629,39,1,G34.3,CS,5-4,USB,14.7233,129.9611,250MHzx8192
p0,20200627,84,2,G34.3,CS,5-4,USB,14.8285,136.4467,1000MHzx2048
p0,20200628,36,2,G34.3,CS,5-4,USB,14.8361,152.9663,1000MHzx2048
p0,20200629,39,2,G34.3,CS,5-4,USB,14.8394,136.4787,1000MHzx2048
p1,20200627,84,2,G34.3,CS,5-4,USB,14.5064,126.2422,1000MHzx2048
p1,20200628,36,2,G34.3,CS,5-4,USB,14.5552,141.3417,1000MHzx2048
p1,20200629,39,2,G34.3,CS,5-4,USB,14.2587,126.2821,1000MHzx2048
both,20200627,84,2,G34.3,CS,5-4,USB,14.6501,131.0457,1000MHzx2048
both,20200628,36,2,G34.3,CS,5-4,USB,14.6859,146.8088,1000MHzx2048
both,20200629,39,2,G34.3,CS,5-4,USB,14.5271,131.0852,1000MHzx2048
p0,20200627,77,1,NGC6334I,CS,5-4,USB,15.4887,200.2804,250MHzx8192
p0,20200628,43,1,NGC6334I,CS,5-4,USB,15.6671,188.6434,250MHzx8192
p0,20200629,31,1,NGC6334I,CS,5-4,USB,15.3285,197.96100000000000,250MHzx8192
p1,20200627,77,1,NGC6334I,CS,5-4,USB,15.7287,191.1236,250MHzx8192
p1,20200628,43,1,NGC6334I,CS,5-4,USB,16.3845,179.9155,250MHzx8192
p1,20200629,31,1,NGC6334I,CS,5-4,USB,15.5597,186.1196,250MHzx8192
both,20200627,77,1,NGC6334I,CS,5-4,USB,15.5381,195.5311,250MHzx8192
both,20200628,43,1,NGC6334I,CS,5-4,USB,16.0045,184.1246,250MHzx8192
both,20200629,31,1,NGC6334I,CS,5-4,USB,15.3524,191.7564,250MHzx8192
p0,20200627,77,2,NGC6334I,CS,5-4,USB,14.9973,197.7421,1000MHzx2048
p0,20200628,43,2,NGC6334I,CS,5-4,USB,15.2648,187.1378,1000MHzx2048
p0,20200629,31,2,NGC6334I,CS,5-4,USB,14.8994,197.2241,1000MHzx2048
p1,20200627,77,2,NGC6334I,CS,5-4,USB,15.5429,196.8515,1000MHzx2048
p1,20200628,43,2,NGC6334I,CS,5-4,USB,16.1223,184.9274,1000MHzx2048
p1,20200629,31,2,NGC6334I,CS,5-4,USB,15.5107,192.0672,1000MHzx2048
both,20200627,77,2,NGC6334I,CS,5-4,USB,15.2241,197.2966,1000MHzx2048
both,20200628,43,2,NGC6334I,CS,5-4,USB,15.698,186.0233,1000MHzx2048
both,20200629,31,2,NGC6334I,CS,5-4,USB,15.2006,194.5905,1000MHzx2048
p0,20200629,60,1,W3(OH),CS,5-4,USB,7.7824800000000000,137.191,250MHzx8192
p0,20200701,80,1,W3(OH),CS,5-4,USB,8.08412,161.08,250MHzx8192
p1,20200629,60,1,W3(OH),CS,5-4,USB,8.44325,133.1882,250MHzx8192
p1,20200701,80,1,W3(OH),CS,5-4,USB,8.52037,152.9495,250MHzx8192
both,20200629,60,1,W3(OH),CS,5-4,USB,8.06739,135.1493,250MHzx8192
both,20200701,80,1,W3(OH),CS,5-4,USB,8.26624,156.8496,250MHzx8192
p0,20200629,60,2,W3(OH),CS,5-4,USB,7.51929,135.7816,1000MHzx2048
p0,20200701,80,2,W3(OH),CS,5-4,USB,7.62058,159.4745,1000MHzx2048
p1,20200629,60,2,W3(OH),CS,5-4,USB,8.33147,137.1092,1000MHzx2048
p1,20200701,80,2,W3(OH),CS,5-4,USB,8.086690000000000,156.4274,1000MHzx2048
both,20200629,60,2,W3(OH),CS,5-4,USB,7.92192,136.4412,1000MHzx2048
both,20200701,80,2,W3(OH),CS,5-4,USB,7.858040000000000,157.9303,1000MHzx2048
p0,20200628,58,1,CRL2688,CS,5-4,LSB,1.21193,139.6589,250MHzx8192
p0,20200701,30,1,CRL2688,CS,5-4,LSB,1.29643,169.3501,250MHzx8192
p1,20200628,58,1,CRL2688,CS,5-4,LSB,1.2702800000000000,130.5331,250MHzx8192
p1,20200701,30,1,CRL2688,CS,5-4,LSB,1.27506,157.0647,250MHzx8192
both,20200628,58,1,CRL2688,CS,5-4,LSB,1.20386,134.8575,250MHzx8192
both,20200701,30,1,CRL2688,CS,5-4,LSB,1.2164,162.8599,250MHzx8192
p0,20200628,58,2,CRL2688,CS,5-4,LSB,1.1537900000000000,138.5333,1000MHzx2048
p0,20200701,30,2,CRL2688,CS,5-4,LSB,1.10704,167.5792,1000MHzx2048
p1,20200628,58,2,CRL2688,CS,5-4,LSB,1.19497,135.5428,1000MHzx2048
p1,20200701,30,2,CRL2688,CS,5-4,LSB,1.1401300000000000,161.5797,1000MHzx2048
both,20200628,58,2,CRL2688,CS,5-4,LSB,1.15126,137.0147,1000MHzx2048
both,20200701,30,2,CRL2688,CS,5-4,LSB,1.11985,164.4969,1000MHzx2048
p0,20200627,62,1,CRL2688,H-13-CN,3-2,USB,3.1318,156.1038,250MHzx8192
p0,20200628,55,1,CRL2688,H-13-CN,3-2,USB,3.23628,157.6341,250MHzx8192
p0,20200701,31,1,CRL2688,H-13-CN,3-2,USB,3.19345,184.7045,250MHzx8192
p1,20200627,62,1,CRL2688,H-13-CN,3-2,USB,3.23793,155.6103,250MHzx8192
p1,20200628,55,1,CRL2688,H-13-CN,3-2,USB,3.13194,151.71,250MHzx8192
p1,20200701,31,1,CRL2688,H-13-CN,3-2,USB,3.22463,181.0533,250MHzx8192
both,20200627,62,1,CRL2688,H-13-CN,3-2,USB,3.08275,155.8524,250MHzx8192
both,20200628,55,1,CRL2688,H-13-CN,3-2,USB,3.12137,154.5965,250MHzx8192
both,20200701,31,1,CRL2688,H-13-CN,3-2,USB,3.13735,182.8457,250MHzx8192
p0,20200627,62,2,CRL2688,H-13-CN,3-2,USB,2.90372,154.0067,1000MHzx2048
p0,20200628,55,2,CRL2688,H-13-CN,3-2,USB,3.02478,155.8844,1000MHzx2048
p0,20200701,31,2,CRL2688,H-13-CN,3-2,USB,3.0307,182.8804,1000MHzx2048
p1,20200627,62,2,CRL2688,H-13-CN,3-2,USB,3.07199,159.2619,1000MHzx2048
p1,20200628,55,2,CRL2688,H-13-CN,3-2,USB,2.9954100000000000,154.6885,1000MHzx2048
p1,20200701,31,2,CRL2688,H-13-CN,3-2,USB,3.0634900000000000,186.6046,1000MHzx2048
both,20200627,62,2,CRL2688,H-13-CN,3-2,USB,2.97756,156.5681,1000MHzx2048
both,20200628,55,2,CRL2688,H-13-CN,3-2,USB,2.9847,155.2843,1000MHzx2048
both,20200701,31,2,CRL2688,H-13-CN,3-2,USB,3.04052,184.7144,1000MHzx2048
p0,20200629,52,1,N7538IRS1,CH3OH,5-4,USB,1.6936200000000000,129.6877,250MHzx8192
p0,20200701,70,1,N7538IRS1,CH3OH,5-4,USB,1.8417,154.1577,250MHzx8192
p0,20200629,52,2,N7538IRS1,CH3OH,5-4,USB,1.4978,128.6363,1000MHzx2048
p0,20200701,70,2,N7538IRS1,CH3OH,5-4,USB,1.7913,154.7155,1000MHzx2048
p1,20200629,52,1,N7538IRS1,CH3OH,5-4,USB,1.18381,93.81431000000000,250MHzx8192
p1,20200701,70,1,N7538IRS1,CH3OH,5-4,USB,1.31487,110.2541,250MHzx8192
p1,20200629,52,2,N7538IRS1,CH3OH,5-4,USB,1.1552800000000000,96.99484,1000MHzx2048
p1,20200701,70,2,N7538IRS1,CH3OH,5-4,USB,1.3370600000000000,114.6354,1000MHzx2048
both,20200629,52,1,N7538IRS1,CH3OH,5-4,USB,1.3142,107.5014,250MHzx8192
both,20200701,70,1,N7538IRS1,CH3OH,5-4,USB,1.4819200000000000,126.8264,250MHzx8192
both,20200629,52,2,N7538IRS1,CH3OH,5-4,USB,1.28122,109.52600000000000,1000MHzx2048
both,20200701,70,2,N7538IRS1,CH3OH,5-4,USB,1.50061,130.2588,1000MHzx2048
p0,20200627,96,1,W75N,CH3OH,5-4,USB,4.587360000000000,132.0801,250MHzx8192
p0,20200628,47,1,W75N,CH3OH,5-4,USB,4.5248800000000000,160.1093,250MHzx8192
p0,20200701,28,1,W75N,CH3OH,5-4,USB,4.35669,170.8835,250MHzx8192
p0,20200627,96,2,W75N,CH3OH,5-4,USB,4.42765,131.3515,1000MHzx2048
p0,20200628,47,2,W75N,CH3OH,5-4,USB,4.51715,160.4282,1000MHzx2048
p0,20200701,28,2,W75N,CH3OH,5-4,USB,4.2173300000000000,169.6686,1000MHzx2048
p1,20200627,96,1,W75N,CH3OH,5-4,USB,4.406280000000000,120.1305,250MHzx8192
p1,20200628,47,1,W75N,CH3OH,5-4,USB,4.6932,147.2621,250MHzx8192
p1,20200701,28,1,W75N,CH3OH,5-4,USB,4.34071,154.8353,250MHzx8192
p1,20200627,96,2,W75N,CH3OH,5-4,USB,4.29822,122.7582,1000MHzx2048
p1,20200628,47,2,W75N,CH3OH,5-4,USB,4.44597,151.0029,1000MHzx2048
p1,20200701,28,2,W75N,CH3OH,5-4,USB,4.21725,159.759,1000MHzx2048
both,20200627,96,1,W75N,CH3OH,5-4,USB,4.48763,125.6755,250MHzx8192
both,20200628,47,1,W75N,CH3OH,5-4,USB,4.591820000000000,153.2795,250MHzx8192
both,20200701,28,1,W75N,CH3OH,5-4,USB,4.31145,162.2565,250MHzx8192
both,20200627,96,2,W75N,CH3OH,5-4,USB,4.35936,126.8374,1000MHzx2048
both,20200628,47,2,W75N,CH3OH,5-4,USB,4.48179,155.5023,1000MHzx2048
both,20200701,28,2,W75N,CH3OH,5-4,USB,4.2201900000000000,164.4917,1000MHzx2048
p0,20200628,25,1,16293-2422,CH3OH,5-4,USB,1.19812,164.6705,250MHzx8192
p0,20200629,24,1,16293-2422,CH3OH,5-4,USB,1.48006,202.3797,250MHzx8192
p0,20200701,17,1,16293-2422,CH3OH,5-4,USB,1.32655,168.7479,250MHzx8192
p0,20200628,25,2,16293-2422,CH3OH,5-4,USB,1.11599,163.8304,1000MHzx2048
p0,20200629,24,2,16293-2422,CH3OH,5-4,USB,1.08806,200.4454,1000MHzx2048
p0,20200701,17,2,16293-2422,CH3OH,5-4,USB,1.2055800000000000,168.0313,1000MHzx2048
p1,20200628,25,1,16293-2422,CH3OH,5-4,USB,1.2819,163.1848,250MHzx8192
p1,20200629,24,1,16293-2422,CH3OH,5-4,USB,1.4098,199.1615,250MHzx8192
p1,20200701,17,1,16293-2422,CH3OH,5-4,USB,1.44623,168.2987,250MHzx8192
p1,20200628,25,2,16293-2422,CH3OH,5-4,USB,1.1279,167.2927,1000MHzx2048
p1,20200629,24,2,16293-2422,CH3OH,5-4,USB,1.25441,204.9838,1000MHzx2048
p1,20200701,17,2,16293-2422,CH3OH,5-4,USB,1.3760300000000000,172.2831,1000MHzx2048
both,20200628,25,1,16293-2422,CH3OH,5-4,USB,1.19805,163.9228,250MHzx8192
