pol,utdate,obsnum,subsysnr,object,molecule,transition,obs_sb,peak,tsys,bwmode
p0,20200701,19,2,16293-2422,CS,5-4,LSB,7.698930000000000,164.3132,1000MHzx2048
p1,20200628,27,2,16293-2422,CS,5-4,LSB,7.949660000000000,156.764,1000MHzx2048
p1,20200629,25,2,16293-2422,CS,5-4,LSB,7.7060700000000000,186.41,1000MHzx2048
p1,20200701,19,2,16293-2422,CS,5-4,LSB,7.828070000000000,158.6955,1000MHzx2048
both,20200628,27,2,16293-2422,CS,5-4,LSB,7.81723,157.7378,1000MHzx2048
both,20200629,25,2,16293-2422,CS,5-4,LSB,7.60467,188.965,1000MHzx2048
both,20200701,19,2,16293-2422,CS,5-4,LSB,7.76695,161.4304,1000MHzx2048
p0,20200627,85,1,G34.3,CS,5-4,LSB,14.4948,131.015,250MHzx8192
p0,20200628,35,1,G34.3,CS,5-4,LSB,14.6341,148.9629,250MHzx8192
p0,20200629,40,1,G34.3,CS,5-4,LSB,14.3457,132.4542,250MHzx8192
p1,20200627,85,1,G34.3,CS,5-4,LSB,15.1137,122.7626,250MHzx8192
p1,20200628,35,1,G34.3,CS,5-4,LSB,14.7724,140.6138,250MHzx8192
p1,20200629,40,1,G34.3,CS,5-4,LSB,14.6213,123.0914,250MHzx8192
both,20200627,85,1,G34.3,CS,5-4,LSB,14.772,126.68700000000000,250MHzx8192
both,20200628,35,1,G34.3,CS,5-4,LSB,14.6626,144.6022,250MHzx8192
both,20200629,40,1,G34.3,CS,5-4,LSB,14.4668,127.5157,250MHzx8192
p0,20200627,85,2,G34.3,CS,5-4,LSB,14.2521,128.5267,1000MHzx2048
p0,20200628,35,2,G34.3,CS,5-4,LSB,14.3312,146.7301,1000MHzx2048
p0,20200629,40,2,G34.3,CS,5-4,LSB,14.1838,128.9278,1000MHzx2048
p1,20200627,85,2,G34.3,CS,5-4,LSB,14.9665,127.6522,1000MHzx2048
p1,20200628,35,2,G34.3,CS,5-4,LSB,14.5125,144.6682,1000MHzx2048
p1,20200629,40,2,G34.3,CS,5-4,LSB,14.6484,128.0607,1000MHzx2048
both,20200627,85,2,G34.3,CS,5-4,LSB,14.6004,128.0863,1000MHzx2048
both,20200628,35,2,G34.3,CS,5-4,LSB,14.421,145.6878,1000MHzx2048
both,20200629,40,2,G34.3,CS,5-4,LSB,14.4166,128.491,1000MHzx2048
p0,20200627,75,1,NGC6334I,CS,5-4,LSB,15.5436,194.3487,250MHzx8192
p0,20200628,44,1,NGC6334I,CS,5-4,LSB,15.0911,183.3879,250MHzx8192
p0,20200629,32,1,NGC6334I,CS,5-4,LSB,14.1328,180.94800000000000,250MHzx8192
p1,20200627,75,1,NGC6334I,CS,5-4,LSB,15.8491,181.81800000000000,250MHzx8192
p1,20200628,44,1,NGC6334I,CS,5-4,LSB,15.9664,173.8599,250MHzx8192
p1,20200629,32,1,NGC6334I,CS,5-4,LSB,14.6528,169.5207,250MHzx8192
both,20200627,75,1,NGC6334I,CS,5-4,LSB,15.6931,187.7671,250MHzx8192
both,20200628,44,1,NGC6334I,CS,5-4,LSB,15.4529,178.4339,250MHzx8192
both,20200629,32,1,NGC6334I,CS,5-4,LSB,14.3754,174.9486,250MHzx8192
p0,20200627,75,2,NGC6334I,CS,5-4,LSB,15.4229,192.5369,1000MHzx2048
p0,20200628,44,2,NGC6334I,CS,5-4,LSB,14.9117,181.6162,1000MHzx2048
p0,20200629,32,2,NGC6334I,CS,5-4,LSB,13.9837,179.8177,1000MHzx2048
p1,20200627,75,2,NGC6334I,CS,5-4,LSB,15.7174,186.0021,1000MHzx2048
p1,20200628,44,2,NGC6334I,CS,5-4,LSB,15.5477,177.7652,1000MHzx2048
